chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_15846	NAD	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15346	CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15414	SAM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17154	NAM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17526	PI4P	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15422	ATP	chemical	6
http://purl.obolibrary.org/obo/CHEBI_16761	ADP	chemical	6
http://purl.obolibrary.org/obo/CHEBI_15377	H2O	chemical	3
http://purl.obolibrary.org/obo/CHEBI_18348	PIP2	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16680	SAH	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15351	Ac-CoA	chemical	1
