BP	bp_count	mf_count	complex_count	distinct_protein_count	distinct_chemical_count	distinct_cc_count	distinct_relation_count
Adenylate_cyclase_inhibitory_pathway	1	8	24	2	9	3	6
Defective_ABCD1_causes_adrenoleukodystrophy_(ALD)	1	1	0	0	7	1	3
RNF_mutants_show_enhanced_WNT_signaling_and_proliferation	1	1	2	0	0	2	2
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	6	40	76	16	11	6	7
Transport_of_connexins_along_the_secretory_pathway	2	4	3	3	0	4	6
Formation_of_the_Early_Elongation_Complex	1	8	22	13	5	1	6
Formation_of_RNA_Pol_II_elongation_complex	1	7	23	12	5	1	6
Translesion_synthesis_by_POLI	1	5	19	2	5	1	6
Ubiquinol_biosynthesis	1	10	2	5	25	3	6
Expression_and_Processing_of_Neurotrophins	1	0	0	0	0	0	0
Translesion_synthesis_by_POLK	1	5	19	2	5	1	6
MPS_IIID_-_Sanfilippo_syndrome_D	1	1	0	0	6	1	3
Regulation_of_gene_expression_in_early_pancreatic_precursor_cells	1	9	0	8	0	2	6
Insulin_receptor_recycling	2	7	7	3	4	5	6
Export_of_Viral_Ribonucleoproteins_from_Nucleus	1	0	0	0	0	0	0
HIV_Transcription_Elongation	1	0	0	0	0	0	0
CYP2E1_reactions	5	7	7	0	24	2	5
Spry_regulation_of_FGF_signaling	1	11	27	7	6	2	7
Response_to_metal_ions	1	0	0	0	0	0	0
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	1	7	16	3	8	3	5
IPs_transport_between_ER_lumen_and_nucleus	5	5	1	3	13	3	6
Intracellular_oxygen_transport	1	7	0	3	10	1	6
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	2	3	2	1	11	3	6
Metallothioneins_bind_metals	1	27	0	11	7	1	6
Essential_pentosuria	1	1	0	0	5	1	3
Downstream_signaling_of_activated_FGFR4	1	0	0	0	0	0	0
Downstream_signaling_of_activated_FGFR3	1	0	0	0	0	0	0
TNF_signaling	1	8	17	7	0	3	6
Downstream_signaling_of_activated_FGFR2	1	0	0	0	0	0	0
Downstream_signaling_of_activated_FGFR1	1	4	12	0	5	3	5
IPs_transport_between_nucleus_and_cytosol	7	16	10	4	21	3	6
Degradation_of_beta-catenin_by_the_destruction_complex	3	13	30	6	5	2	6
APC_truncation_mutants_are_not_K63_polyubiquitinated	1	1	1	0	0	1	3
TNFs_bind_their_physiological_receptors	1	13	18	21	0	3	4
Cellular_responses_to_external_stimuli	1	0	0	0	0	0	0
Host_Interactions_of_HIV_factors	1	0	0	0	0	0	0
Defective_MAN1B1_causes_MRT15	1	4	4	0	5	1	3
Cargo_trafficking_to_the_periciliary_membrane	1	0	0	0	0	0	0
Condensation_of_Prophase_Chromosomes	2	11	29	5	15	2	8
