Reactome node type	Reactome Label	Reactome Id	Curator asserted GO types	Rule-assigned types	Inferred GO types
Biological Process	Adenylate cyclase inhibitory pathway	R-HSA-170670 	GO_0007193: adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,		
Molecular Function	G alpha (i) inhibits adenylate cyclase	R-HSA-392206 		GO_0005515: protein binding,	GO_0004857: enzyme inhibitor activity,GO_0010852: cyclase inhibitor activity,GO_0044877: protein-containing complex binding,
Molecular Function	Adenylate cyclase increases the GTPase activity of Gi alpha	R-HSA-170686 	GO_0003924: GTPase activity,		
Molecular Function	Dissociation of the Gi alpha:G olf complex	R-HSA-170674 		GO_0005515: protein binding,	
Molecular Function	Adenylate cyclase converts ATP to 3',5'-cyclic AMP (cAMP) and pyrophosphate	R-HSA-392129 	GO_0004016: adenylate cyclase activity,		
Molecular Function	G alpha-olf:GTP binds to Gi alpha1:GTP:adenylate cyclase complex	R-HSA-170671 		GO_0005515: protein binding,	
Molecular Function	The Ligand:GPCR:Gi complex dissociates	R-HSA-749454 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Molecular Function	Adenylate cyclase increases the GTPase activity of G alpha-olf	R-HSA-170666 	GO_0003924: GTPase activity,		
Molecular Function	Dissociation of the P2Y purinoceptor 12:Gi complex	R-HSA-392202 		GO_0005515: protein binding,	GO_0044877: protein-containing complex binding,
Complex	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	R-HSA-170683 			GO_1905360: GTPase complex,
Complex	(Gi alpha1:GDP:Adenylate cyclase):(G alpha-olf:GDP)	R-HSA-170656 			
Complex	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GDP)	R-HSA-170659 			
Complex	Ligand:GPCR complexes that activate Gi:Heterotrimeric G-protein Gi (active)	R-HSA-749445 			
Complex	Gs-activated adenylate cyclase	R-HSA-163622 			
Complex	Adenylate cyclase (Mg2+ cofactor)	R-HSA-170665 			GO_1902494: catalytic complex,
Complex	G-protein beta-gamma complex	R-HSA-167434 			
Complex	G-protein alpha (i):GTP:Adenylate cyclase	R-HSA-396910 			
Complex	G alpha (i): GTP	R-HSA-392161 			
Complex	G-protein alpha (z):GTP:Adenylate cyclase	R-HSA-392049 			
Complex	G-protein alpha (i):GDP	R-HSA-392164 			
Complex	ADP:P2RY12:G-protein Gi (active)	R-HSA-392194 			
Biological Process	Defective ABCD1 causes adrenoleukodystrophy (ALD)	R-HSA-5684045 			
Molecular Function	Defective ABCD1 does not transfer LCFAs from cytosol to peroxisomal matrix	R-HSA-5684043 			
Biological Process	RNF mutants show enhanced WNT signaling and proliferation	R-HSA-5340588 			
Molecular Function	RNF43 frameshift mutants show enhanced WNT siganling	R-HSA-5340587 			
Complex	N4GlycoAsn-PalmS-WNT3A:FZD:LRP5/6	R-HSA-4641176 			
Complex	RNF43 mutants	R-HSA-5340583 			
Biological Process	reaction:Activation of Cdc25C: is xrefed to this process	R-HSA-156678 	GO_0051726: regulation of cell cycle,		
Biological Process	Translocation of Cdc25B to the cytoplasm	R-HSA-170120 		GO_0045184: establishment of protein localization,	
Biological Process	Cyclin A/B1/B2 associated events during G2/M transition	R-HSA-69273 			
Biological Process	Translocation of active Cdc25C to the nucleus	R-HSA-170149 		GO_0045184: establishment of protein localization,	GO_1990173: protein localization to nucleoplasm,
Biological Process	reaction:Inactivation of Myt1 kinase: is xrefed to this process	R-HSA-162657 	GO_0051726: regulation of cell cycle,		
