pathway	new_bp	new_mf	new_cc	new_complex	new_total	deepened_bp	deepened_mf	deepened_cc	deepened_complex	deepened_total
Adenylate_cyclase_inhibitory_pathway	0	3	0	3	6	0	0	0	0	0
Defective_ABCD1_causes_adrenoleukodystrophy_(ALD)	0	0	0	0	0	0	0	0	0	0
RNF_mutants_show_enhanced_WNT_signaling_and_proliferation	0	0	0	0	0	0	0	0	0	0
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	1	6	0	17	24	0	1	0	0	1
Transport_of_connexins_along_the_secretory_pathway	0	1	0	0	1	1	0	0	0	1
Formation_of_the_Early_Elongation_Complex	0	1	0	1	2	0	0	0	0	0
Formation_of_RNA_Pol_II_elongation_complex	0	4	0	1	5	1	0	0	0	1
Translesion_synthesis_by_POLI	0	2	0	3	5	1	0	0	0	1
Ubiquinol_biosynthesis	0	0	0	2	2	1	0	0	0	1
Expression_and_Processing_of_Neurotrophins	0	0	0	0	0	0	0	0	0	0
Translesion_synthesis_by_POLK	0	2	0	3	5	1	0	0	0	1
MPS_IIID_-_Sanfilippo_syndrome_D	0	0	0	0	0	0	0	0	0	0
Regulation_of_gene_expression_in_early_pancreatic_precursor_cells	0	0	0	0	0	0	3	0	0	3
Insulin_receptor_recycling	0	2	0	1	3	1	0	0	0	1
Export_of_Viral_Ribonucleoproteins_from_Nucleus	0	0	0	0	0	0	0	0	0	0
HIV_Transcription_Elongation	0	0	0	0	0	0	0	0	0	0
CYP2E1_reactions	0	0	0	7	7	3	0	0	0	3
Spry_regulation_of_FGF_signaling	0	1	0	2	3	0	1	0	0	1
Response_to_metal_ions	0	0	0	0	0	0	0	0	0	0
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	0	0	0	4	4	1	0	0	0	1
IPs_transport_between_ER_lumen_and_nucleus	2	0	0	1	3	0	0	0	0	0
Intracellular_oxygen_transport	0	0	0	0	0	0	0	0	0	0
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	0	0	0	2	2	1	0	0	0	1
Metallothioneins_bind_metals	0	0	0	0	0	0	0	0	0	0
Essential_pentosuria	0	0	0	0	0	0	0	0	0	0
Downstream_signaling_of_activated_FGFR4	0	0	0	0	0	0	0	0	0	0
Downstream_signaling_of_activated_FGFR3	0	0	0	0	0	0	0	0	0	0
TNF_signaling	0	6	0	0	6	0	0	0	0	0
Downstream_signaling_of_activated_FGFR2	0	0	0	0	0	0	0	0	0	0
Downstream_signaling_of_activated_FGFR1	0	1	0	3	4	0	0	0	0	0
IPs_transport_between_nucleus_and_cytosol	1	0	0	10	11	0	0	0	0	0
Degradation_of_beta-catenin_by_the_destruction_complex	0	3	0	5	8	0	0	0	0	0
APC_truncation_mutants_are_not_K63_polyubiquitinated	0	0	0	0	0	0	0	0	0	0
TNFs_bind_their_physiological_receptors	0	4	0	0	4	0	0	0	0	0
Cellular_responses_to_external_stimuli	0	0	0	0	0	0	0	0	0	0
Host_Interactions_of_HIV_factors	0	0	0	0	0	0	0	0	0	0
Defective_MAN1B1_causes_MRT15	0	0	0	0	0	0	0	0	0	0
Cargo_trafficking_to_the_periciliary_membrane	0	0	0	0	0	0	0	0	0	0
Condensation_of_Prophase_Chromosomes	1	3	0	5	9	0	2	0	0	2
NOD1-2_Signaling_Pathway	0	6	0	8	14	0	0	0	0	0
Signaling_by_ROBO_receptors	0	14	0	0	14	0	0	0	0	0
Activation_and_oligomerization_of_BAK_protein	0	0	0	1	1	1	0	0	0	1
Synthesis_of_PE	0	0	0	9	9	3	0	0	0	3
Gap_junction_degradation	0	1	0	1	2	0	0	0	0	0
AURKA_Activation_by_TPX2	0	1	0	1	2	0	0	0	0	0
Synthesis_of_PC	0	1	0	15	16	4	0	0	0	4
Synthesis_of_PI	0	0	0	5	5	1	0	0	0	1
SLC_transporter_disorders	0	0	0	0	0	0	0	0	0	0
TCR_signaling	0	0	0	0	0	0	0	0	0	0
Synthesis_of_PG	0	0	0	6	6	3	0	0	0	3
Protein_localization	0	0	0	0	0	0	0	0	0	0
Interleukin-27_signaling	0	16	0	3	19	2	3	0	0	5
Neurotransmitter_uptake_and_metabolism_In_glial_cells	0	0	0	0	0	0	0	0	0	0
GABA_receptor_activation	0	1	0	0	1	0	0	0	0	0
Transport_of_Mature_mRNA_derived_from_an_Intron-Containing_Transcript	0	4	0	2	6	0	0	0	0	0
Lysine_catabolism	0	0	0	1	1	1	0	0	0	1
Metabolism_of_folate_and_pterines	0	0	0	5	5	1	0	0	0	1
Beta_oxidation_of_hexanoyl-CoA_to_butanoyl-CoA	0	0	0	4	4	2	1	0	0	3
Synthesis_of_PA	0	0	0	15	15	3	0	0	0	3
Defective_MMAA_causes_methylmalonic_aciduria_type_cblA	0	0	0	0	0	0	0	0	0	0
E3_ubiquitin_ligases_ubiquitinate_target_proteins	0	10	0	8	18	0	0	0	0	0
Peptide_ligand-binding_receptors	0	26	0	3	29	1	0	0	0	1
Phospholipase_C-mediated_cascade;_FGFR4	0	1	0	3	4	0	0	0	0	0
Phospholipase_C-mediated_cascade;_FGFR3	0	1	0	3	4	0	0	0	0	0
Translation_initiation_complex_formation	0	2	0	1	3	0	0	0	0	0
Inflammasomes	0	0	0	0	0	0	0	0	0	0
ARMS-mediated_activation	0	2	0	3	5	0	2	0	0	2
