Reactome Node Type	Reactome label	curated GO MF	curated GO_BP	both	controller_type	
Reaction	DVL1 is ubiquitinated by HECW1	GO_0061630 	none		Catalysis 
Reaction	DACT1 binds DVL2	none	none		none
Reaction	Ubiquitinated DVL1 is degraded by the proteasome	GO_0004175 	none		Catalysis 
Reaction	Tankyrase ADP-ribosylates AXIN	GO_0003950 	none		Catalysis 
Reaction	Tankyrase binds AXIN	none	none		none
Reaction	RNF146 ubiquitinates ADP-ribosylated AXIN	GO_0061630 	none		Catalysis 
Reaction	RNF146 binds RibC-AXIN:TNKS complex	none	none		none
Reaction	SMURF2 binds AXIN	none	none		none
Reaction	Ub-RibC-AXIN is degraded by the proteasome	GO_0004175 	none		Catalysis 
Reaction	AXIN is ubiquitinated by SMURF2	GO_0061630 	none		Catalysis 
Reaction	YWHAZ and XPO1 mediate the nuclear export of beta-catenin	none	none		none
Reaction	XPO1 binds the beta-catenin:CBY complex	none	none		none
Reaction	CHD8 binds beta-catenin to negatively regulate WNT-dependent gene expression	none	none		none
Reaction	CTNNBIP1 binds beta-catenin	none	none		none
Reaction	TCF:Beta-catenin binds SOX proteins	none	none		none
Reaction	Beta-catenin binds SOX proteins	none	none		none
Reaction	DVL is ubiquitinated by CUL3:KLHL12:RBX1	GO_0061630 	none		Catalysis 
Reaction	DVL is bound by the CUL3:KLHL12:RBX1 ubiquitin ligase complex	none	none		none
Reaction	DVL1 is bound by the HECT ubiquitin ligase HECW1	none	none		none
Reaction	Ubiquitinated DVL is degraded by the proteasome	GO_0004175 	none		Catalysis 
Reaction	Multi-ubiquitination of phospho-beta-catenin by RBX1:SCF(beta-TrCP1)	none	none		none
Reaction	Association of beta-catenin with the RBX1:SCF(beta-TrCP1) ubiquitin ligase complex	none	none		none
Reaction	TCF/LEF binds WNT promoters	none	none		none
Reaction	Degradation of ubiquitinated beta catenin by the proteasome	GO_0004175 	GO_0043161 	both	Catalysis 
Reaction	TLE oligomerizes	none	none		none
Reaction	secretion of WNT ligands	none	none		none
Reaction	WNTs are secreted in exosomes	none	none		none
Reaction	WLS:WNT complex is internalized for maturation into exosomes	none	none		none
Reaction	Phosphorylation of phospho-(Ser45 ) at Thr 41 by GSK-3	GO_0016301 	none		Non-catalytic-INHIBITION Catalysis 
Reaction	WNT ligands traffic to the plasma membrane	none	none		none
Reaction	CXXC4 binds DVL to prevent AXIN binding	none	none		none
Reaction	Phosphorylation of phospho-(Ser45,Thr41,Ser37) at Ser33 by GSK-3	GO_0016301 	none		Non-catalytic-INHIBITION Catalysis 
Pathway	WNT5A-dependent internalization of FZD4	none	none		none
Reaction	sFRP binds WNT3A and inhibits WNT:FZD binding	none	none		none
Reaction	Phosphorylation of phospho- (Ser45, Thr41) beta-catenin at Ser37 by GSK-3	GO_0016301 	none		Non-catalytic-INHIBITION Catalysis 
Reaction	WIF1 binds WNTs	none	none		none
Reaction	Dissociation of beta-catenin from Axin and association of beta catenin with phospho-(20 aa) APC in the detruction complex	none	none		none
Pathway	Ca2+ pathway	none	GO_0007223 		none
Reaction	SOST binds LRP5/6	none	none		none
Reaction	WLS is endocytosed to the early endosome	none	none		none
Reaction	Phosphorylation of APC component of the destruction complex	GO_0016301 	none		Catalysis 
Pathway	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	none	none		none
Reaction	DVL is recruited to the receptor	none	none		none
Reaction	WNTs bind the FZD receptor to initiate PCP pathway	none	none		none
Reaction	Canonical WNT signaling through the atypical receptor RYK	none	none		none
Reaction	DVL binds CCDC88C	none	none		none
Reaction	USP34 deubiquitinates AXIN1,AXIN2	GO_0036459 	none		Catalysis 
Reaction	WLS binds WNT ligands in the Golgi	none	none		none
Reaction	Ubiquitinated AXIN is degraded by the proteasome	GO_0004175 	none		Catalysis 
Reaction	WNT ligands traffic to the Golgi	none	none		Non-catalytic-ACTIVATION 
Reaction	ZNRF3 ubiquitinates FZD to promote its downregulation	GO_0061630 	none		Catalysis 
Reaction	ppDVL binds DAAM1	none	none		none
Reaction	PORCN palmitoleoylates N-glycosyl WNTs	GO_0008374 	none		Catalysis 
Reaction	ZNRF3,RNF43 binds the FZD:LRP5/6 receptor complex	none	none		none
Reaction	WNT-dependent phosphorylation of DVL	GO_0004674 	none		Catalysis 
Reaction	N-linked glycosylation of WNTs	none	none		none
Reaction	APC is K63-polyubiquitinated	GO_0061630 	none		Catalysis 
Reaction	Expression of AXIN1 gene	none	none		none
Reaction	AXIN is phosphorylated in the destruction complex	GO_0004674 	none		Catalysis 
Reaction	Assembly of the destruction complex	none	GO_1904885 		none
Reaction	Phosphorylation of beta-catenin at Ser45 by CK1 alpha	GO_0016301 	none		Catalysis 
Reaction	Association of beta-catenin with the destruction complex	none	none		none
Reaction	RSPOs bind LGRs	none	none		none
Reaction	DAAM1 recruits GTP-bound RHOA	none	none		none
Reaction	USP8 deubiquitinates FZD to potentiate WNT signaling	GO_0004843 	none		Catalysis 
Reaction	ZNRF3 autoubiquitinates to promote its internalization	GO_0061630 	none		Catalysis 
Reaction	RSPO:LGR binds ZNRF3	none	none		none
Reaction	DKK promotes clathrin-dependent internalization of LRP6	none	none		none
Reaction	WNT5A binds ROR2 and VANGL2	none	none		none
Reaction	Retromer recycles WLS to the Golgi	none	none		none
Reaction	DKK and KRM bind LRP5/6	none	none		none
Reaction	RYK binds WNT5A and VANGL2	none	none		none
Reaction	Retromer associates with WLS	none	none		none
Reaction	DAAM1 recruits PFN1	none	none		none
Reaction	Expression of AMER1 gene	none	none		none
Reaction	ppDVL recruits RAC	none	none		none
Reaction	WLS dissociates from retromer	none	none		none
Reaction	WNT5A binding to FZD promotes PRICKLE1 degradation	none	none		none
Reaction	VANGL2 is required for asymmetric membrane localization of FZD3	none	none		none
Reaction	SCRIB is required for asymmetric membrane localization of VANGL2	none	none		none
Reaction	VANGL2 is phosphorylated in response to WNT5A	GO_0004674 	none		Catalysis 
Reaction	DVL2 is phosphorylated after WNT5A binding to FZD	GO_0004674 	none		Catalysis Non-catalytic-ACTIVATION 
Reaction	Beta-catenin translocates to the nucleus	none	GO_0060828 		none
Reaction	Beta-catenin is released from the destruction complex	none	none		Non-catalytic-ACTIVATION 
Reaction	TCF7L1/TCF7L2/LEF1:CTNNB1 bind the MYC gene	none	none		Non-catalytic-INHIBITION 
Reaction	SMURF1/2 ubiquitinates PRICKLE1	GO_0061630 	none		Catalysis 
Reaction	FZD recruits DVL to the receptor complex	none	none		none
Reaction	SMURF1/2 are recruited to the DVL2:PARD6A complex	none	none		none
Reaction	PP2A dephosphorylates AXIN, APC and CTNNB1 in the destruction complex	GO_0004722 	none		Catalysis 
Reaction	FRAT proteins bind GSK3beta	none	none		none
Reaction	DVL2 is phosphorylated by PKC	GO_0004697 	none		Catalysis 
Reaction	Phosphorylation of LRP5/6 cytoplasmic domain by membrane-associated GSK3beta	GO_0004674 	none		Catalysis 
Reaction	WNT5A-FZD4 recruits DVL2	none	none		none
Reaction	DVL recruits GSK3beta:AXIN1 to the receptor complex	none	none		none
Reaction	WNT5A binds FZD4	none	none		none
Reaction	WNT3A stimulates the caveolin-dependent internalization of FZD5:p-LRP6	none	none		none
Reaction	PRICKLE1 is degraded by the proteasome	GO_0004175 	none		Catalysis 
Reaction	Phosphorylation of LRP5/6 cytoplasmic domain by CSNKI	GO_0004674 	none		Catalysis 
Reaction	FZD2, FZD5 and ROR2 are internalized in a WNT5A and clathrin-dependent manner	none	none		Non-catalytic-ACTIVATION 
Pathway	Degradation of beta-catenin by the destruction complex	none	none		none
Reaction	WNT5A binds FZD and ROR receptors	none	none		none
Pathway	Beta-catenin phosphorylation cascade	none	none		none
Reaction	WNT5A:FZD4 is endocytosed	none	none		none
Pathway	Repression of WNT target genes	none	none		none
Reaction	p-DVL2 recruits AP-2 and beta-arrestin 2 to promote clathrin-mediated endocytosis	none	none		none
Pathway	TCF dependent signaling in response to WNT	none	none		none
Pathway	WNT mediated activation of DVL	none	none		none
Pathway	Disassembly of the destruction complex and recruitment of AXIN to the membrane	none	GO_1904886 		none
Pathway	Formation of the beta-catenin:TCF transactivating complex	none	GO_1904837 		none
