Reactome Node Type	Reactome label	GO MF	GO_BP	both	controller_type	
Reaction	Interaction of DAP12 and TREM2	none	none		none
Pathway	DAP12 interactions	none	none		none
Reaction	Interaction of SIGLEC14/15/16 and DAP12	none	none		none
Reaction	Interaction of DAP12 and IREM2	none	none		none
Reaction	Interaction of DAP12 and CLM7	none	none		none
Reaction	Phosphorylation of DAP12	GO_0004713 	none		Catalysis 
Reaction	Recruitment of SYK to p-DAP12	none	none		none
Reaction	Phosphorylation of SYK	GO_0004713 	none		Catalysis 
Pathway	DAP12 signaling	none	none		none
Reaction	Phosphorylation of PLC-gamma by p-BTK/p-SYK	GO_0004713 	none		Catalysis 
Reaction	Release of p-PLCG1	none	none		none
Reaction	Interaction of DAP12 and NKp44	none	none		none
Reaction	Phosphorylation and activation of VAV2/VAV3 by SYK	GO_0004713 	none		Catalysis 
Reaction	SIRP beta binds TYROBP	none	none		none
Reaction	Activation of RAC1 by VAV2/3	GO_0005085 	none		Catalysis 
Reaction	Interaction of DAP12 and TREM1	none	none		none
Reaction	Recruitment of GADS:SLP-76 to p-5Y-LAT	none	none		none
Reaction	Recruitment of PLC-gamma to SLP-76 and p-5Y-LAT	none	none		none
Reaction	SOS mediated nucleotide exchange of RAS (SHC)	GO_0005088 	none		Catalysis 
Reaction	Phosphorylation of SLP-76 by p-SYK	GO_0004713 	none		Catalysis 
Reaction	Recruitment of VAV and BTK to p-SLP-76	none	none		none
Reaction	Phosphorylation of BTK by p-SYK	GO_0004713 	none		Catalysis 
Reaction	Interaction of DAP12 and KIR3DS1	none	none		none
Reaction	Interaction of DAP12 and MDL-1	none	none		none
Reaction	DAP12 interacts with NKG2C	none	none		none
Reaction	Interaction of DAP12 and NKG2D	none	none		none
Reaction	p85 regulatory unit of PI3K binds p-6Y-SYK	none	none		none
Reaction	PI3K phosphorylates PIP2 to PIP3	GO_0046934 	none		Catalysis 
Reaction	Phosphorylation of LAT by p-SYK	GO_0004713 	none		Catalysis 
Reaction	Recruitment of GRB2:SOS to p-5Y-LAT	none	none		none
Reaction	Dimerization of DAP12	none	none		none
Reaction	Interaction of DAP12 and KIR2DS1	none	none		none
Reaction	Interaction of DAP12 and KIR2DS2	none	none		none
Reaction	Interaction of DAP12 and KIR2DS4	none	none		none
Reaction	Interaction of DAP12 and KIR2DS5	none	none		none
