chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_27732	CAF	chemical	1
http://purl.obolibrary.org/obo/CHEBI_36144	ferriheme b	chemical	7
http://purl.obolibrary.org/obo/CHEBI_29035	Mn2+	chemical	9
http://purl.obolibrary.org/obo/CHEBI_63810	Heparan sulfate chain(7)	chemical	3
http://purl.obolibrary.org/obo/CHEBI_75562	1-MMG	chemical	1
http://purl.obolibrary.org/obo/CHEBI_34146	12S-HETE	chemical	1
http://purl.obolibrary.org/obo/CHEBI_18297	I1P	chemical	4
http://purl.obolibrary.org/obo/CHEBI_16082	UDP-Xyl	chemical	6
http://purl.obolibrary.org/obo/CHEBI_43451	HI	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63914	3-hydroxypristanoyl-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_49203	torcetrapib	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17252	17aHPROG	chemical	6
http://purl.obolibrary.org/obo/CHEBI_140200	13,14(S)-epoxy-DPAn-3	chemical	2
http://purl.obolibrary.org/obo/CHEBI_34146	12(S)-HETE	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15935	GlcNAc-PI	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15521	LAU-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_18323	Anserine	chemical	1
http://purl.obolibrary.org/obo/CHEBI_59414	MDP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16356	cGMP	chemical	11
http://purl.obolibrary.org/obo/CHEBI_15996	GTP	chemical	225
http://purl.obolibrary.org/obo/CHEBI_29866	arsenite(3-)	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15559	15-oxoETE	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15846	NAD	chemical	166
http://purl.obolibrary.org/obo/CHEBI_29036	Cu2+	chemical	7
http://purl.obolibrary.org/obo/CHEBI_63861	MMETOH	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17815	DAG	chemical	109
http://purl.obolibrary.org/obo/CHEBI_15514	AA-CoA	chemical	5
http://purl.obolibrary.org/obo/CHEBI_65132	DHA-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_29103	K+	chemical	98
http://purl.obolibrary.org/obo/CHEBI_35828	As3+	chemical	1
http://purl.obolibrary.org/obo/CHEBI_29105	Zn2+	chemical	73
http://purl.obolibrary.org/obo/CHEBI_64189	xenobiotic	chemical	2
http://purl.obolibrary.org/obo/CHEBI_18348	PI(4,5)P2	chemical	4
http://purl.obolibrary.org/obo/CHEBI_57655	3-dehydro-L-gulonate	chemical	2
http://purl.obolibrary.org/obo/CHEBI_53490	FMLP	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17754	glycerol	chemical	5
http://purl.obolibrary.org/obo/CHEBI_27648	3-Oxohexanoyl-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15986	polynucleotide	chemical	2
http://purl.obolibrary.org/obo/CHEBI_57967	ADP-ribose	chemical	3
http://purl.obolibrary.org/obo/CHEBI_30879	Alcohol	chemical	2
http://purl.obolibrary.org/obo/CHEBI_28648	GD2	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17517	PG	chemical	30
http://purl.obolibrary.org/obo/CHEBI_28259	bHIB-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_21507	GalNAc-R	chemical	2
http://purl.obolibrary.org/obo/CHEBI_50648	9cRA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_62918	I(3,4,6)P3	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16842	CH2O	chemical	31
http://purl.obolibrary.org/obo/CHEBI_16187	P2C	chemical	1
http://purl.obolibrary.org/obo/CHEBI_58961	NAGLY	chemical	1
http://purl.obolibrary.org/obo/CHEBI_132873	5-HETEL	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17996	Cl-	chemical	87
http://purl.obolibrary.org/obo/CHEBI_27595	11epi-PGF2a	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16474	TPNH	chemical	394
http://purl.obolibrary.org/obo/CHEBI_28010	10-formyl-THFPG	chemical	5
http://purl.obolibrary.org/obo/CHEBI_18248	Fe	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63807	Heparan sulfate chain(4)	chemical	3
http://purl.obolibrary.org/obo/CHEBI_18066	UDP-Glc	chemical	33
http://purl.obolibrary.org/obo/CHEBI_28940	VD3	chemical	11
http://purl.obolibrary.org/obo/CHEBI_9171	3MI	chemical	1
http://purl.obolibrary.org/obo/CHEBI_25941	ONOO-	chemical	20
http://purl.obolibrary.org/obo/CHEBI_49189	Pristanal	chemical	2
http://purl.obolibrary.org/obo/CHEBI_65101	2OH-PALM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_2181	L-fucose	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15710	BETALD	chemical	2
http://purl.obolibrary.org/obo/CHEBI_62746	2-acyl LPI	chemical	4
http://purl.obolibrary.org/obo/CHEBI_85880	DHB-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17883	HCl	chemical	2
http://purl.obolibrary.org/obo/CHEBI_59869	L-amino acid	chemical	10
http://purl.obolibrary.org/obo/CHEBI_58315	L-Tyr	chemical	13
http://purl.obolibrary.org/obo/CHEBI_16680	SAH	chemical	199
http://purl.obolibrary.org/obo/CHEBI_16768	MSH	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15531	Mal-CoA	chemical	12
http://purl.obolibrary.org/obo/CHEBI_15515	BEZ-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_138645	RvD5	chemical	1
http://purl.obolibrary.org/obo/CHEBI_27721	trans-Tetradec-2-enoyl-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_58769	P6C	chemical	2
http://purl.obolibrary.org/obo/CHEBI_2485	APSe	chemical	2
