pathway	individual label	individual uri	inferred_type
Adenylate_cyclase_inhibitory_pathway	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	<http://model.geneontology.org/-1525931407>	<http://purl.obolibrary.org/obo/GO_1905360>
Adenylate_cyclase_inhibitory_pathway	Adenylate cyclase (Mg2+ cofactor)	<http://model.geneontology.org/-1904252367>	<http://purl.obolibrary.org/obo/GO_1902494>
Adenylate_cyclase_inhibitory_pathway	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	<http://model.geneontology.org/972084530>	<http://purl.obolibrary.org/obo/GO_1905360>
Adenylate_cyclase_inhibitory_pathway	G alpha (i) inhibits adenylate cyclase	<http://model.geneontology.org/-983049264>	<http://purl.obolibrary.org/obo/GO_0004857>
Adenylate_cyclase_inhibitory_pathway	(Gi alpha1:GTP:Adenylate cyclase):(G alpha-olf:GTP)	<http://model.geneontology.org/1244456917>	<http://purl.obolibrary.org/obo/GO_1905360>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/2399792>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T14,T161-CDK1	<http://model.geneontology.org/-980635405>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB:CDK1	<http://model.geneontology.org/2107548183>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	PP2A-PPP2R2A	<http://model.geneontology.org/1441191083>	<http://purl.obolibrary.org/obo/GO_0008287>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CAK	<http://model.geneontology.org/1410816075>	<http://purl.obolibrary.org/obo/GO_0061695>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-412511888>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-2052717005>	<http://purl.obolibrary.org/obo/GO_0000307>
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	CCNB1:p-T161-CDK1	<http://model.geneontology.org/-1616162979>	<http://purl.obolibrary.org/obo/GO_0000307>
