pathway	new_bp	new_mf	new_cc	new_complex	new_total
Adenylate_cyclase_inhibitory_pathway	0	1	0	9	10
Defective_ABCD1_causes_adrenoleukodystrophy_(ALD)	0	0	0	0	0
RNF_mutants_show_enhanced_WNT_signaling_and_proliferation	0	0	0	2	2
Cyclin_A-B1-B2_associated_events_during_G2-M_transition	0	0	0	46	46
Transport_of_connexins_along_the_secretory_pathway	0	0	0	2	2
Formation_of_the_Early_Elongation_Complex	0	0	0	11	11
Formation_of_RNA_Pol_II_elongation_complex	0	0	0	10	10
Translesion_synthesis_by_POLI	0	0	0	8	8
Ubiquinol_biosynthesis	0	0	0	2	2
Expression_and_Processing_of_Neurotrophins	0	0	0	0	0
MPS_IIID_-_Sanfilippo_syndrome_D	0	0	0	0	0
Translesion_synthesis_by_POLK	0	0	0	8	8
Regulation_of_gene_expression_in_early_pancreatic_precursor_cells	0	2	0	0	2
HIV_Transcription_Elongation	0	0	0	0	0
Export_of_Viral_Ribonucleoproteins_from_Nucleus	0	0	0	0	0
Insulin_receptor_recycling	0	0	0	4	4
CYP2E1_reactions	0	0	0	2	2
Spry_regulation_of_FGF_signaling	0	0	0	14	14
Response_to_metal_ions	0	0	0	0	0
A_tetrasaccharide_linker_sequence_is_required_for_GAG_synthesis	0	0	0	13	13
IPs_transport_between_ER_lumen_and_nucleus	0	0	0	1	1
Intracellular_oxygen_transport	0	0	0	0	0
Metallothioneins_bind_metals	0	0	0	0	0
Synthesis_of_epoxy_(EET)_and_dihydroxyeicosatrienoic_acids_(DHET)	0	0	0	2	2
Essential_pentosuria	0	0	0	0	0
Downstream_signaling_of_activated_FGFR4	0	0	0	0	0
Downstream_signaling_of_activated_FGFR3	0	0	0	0	0
TNF_signaling	0	0	0	11	11
Downstream_signaling_of_activated_FGFR2	0	0	0	0	0
Downstream_signaling_of_activated_FGFR1	0	0	0	3	3
IPs_transport_between_nucleus_and_cytosol	0	0	0	3	3
Degradation_of_beta-catenin_by_the_destruction_complex	0	0	0	12	12
APC_truncation_mutants_are_not_K63_polyubiquitinated	0	0	0	1	1
TNFs_bind_their_physiological_receptors	0	0	0	17	17
Cellular_responses_to_external_stimuli	0	0	0	0	0
Host_Interactions_of_HIV_factors	0	0	0	0	0
Defective_MAN1B1_causes_MRT15	0	0	0	2	2
Cargo_trafficking_to_the_periciliary_membrane	0	0	0	0	0
Condensation_of_Prophase_Chromosomes	0	1	0	12	13
NOD1-2_Signaling_Pathway	0	1	0	29	30
Signaling_by_ROBO_receptors	0	0	0	28	28
Activation_and_oligomerization_of_BAK_protein	0	0	0	2	2
Synthesis_of_PE	0	0	0	3	3
Gap_junction_degradation	0	0	0	2	2
AURKA_Activation_by_TPX2	0	0	0	3	3
Synthesis_of_PC	0	0	0	13	13
Synthesis_of_PI	0	0	0	3	3
SLC_transporter_disorders	0	0	0	0	0
TCR_signaling	0	0	0	0	0
Synthesis_of_PG	0	0	0	3	3
Interleukin-27_signaling	0	2	0	26	28
Neurotransmitter_uptake_and_metabolism_In_glial_cells	0	0	0	0	0
GABA_receptor_activation	0	0	0	0	0
Transport_of_Mature_mRNA_derived_from_an_Intron-Containing_Transcript	0	1	0	21	22
Lysine_catabolism	0	0	0	1	1
Metabolism_of_folate_and_pterines	0	0	0	4	4
Beta_oxidation_of_hexanoyl-CoA_to_butanoyl-CoA	0	0	0	5	5
Synthesis_of_PA	0	0	0	13	13
Defective_MMAA_causes_methylmalonic_aciduria_type_cblA	0	0	0	1	1
E3_ubiquitin_ligases_ubiquitinate_target_proteins	0	0	0	33	33
Peptide_ligand-binding_receptors	0	0	0	71	71
Phospholipase_C-mediated_cascade;_FGFR4	0	0	0	3	3
Translation_initiation_complex_formation	0	0	0	6	6
Phospholipase_C-mediated_cascade;_FGFR3	0	0	0	3	3
Inflammasomes	0	0	0	0	0
TP53_regulates_transcription_of_additional_cell_cycle_genes_whose_exact_role_in_the_p53_pathway_remain_uncertain	0	5	0	2	7
ARMS-mediated_activation	0	0	0	8	8
The_fatty_acid_cycling_model	0	0	0	3	3
TP53_Regulates_Transcription_of_Death_Receptors_and_Ligands	0	3	0	6	9
NR1D1_(REV-ERBA)_represses_gene_expression	0	0	0	1	1
Nuclear_Envelope_Reassembly	0	0	0	0	0
RNA_Polymerase_II_Transcription_Initiation_And_Promoter_Clearance	0	0	0	4	4
Integrin_cell_surface_interactions	0	0	0	90	90
Synthesis_of_PS	0	0	0	0	0
Regulation_of_gene_expression_in_late_stage_(branching_morphogenesis)_pancreatic_bud_precursor_cells	0	1	0	0	1
Intrinsic_Pathway_for_Apoptosis	0	0	0	0	0
Tat-mediated_elongation_of_the_HIV-1_transcript	0	0	0	7	7
ERK-MAPK_targets	0	0	0	9	9
Phospholipase_C-mediated_cascade;_FGFR2	0	0	0	2	2
Downstream_signaling_events_of_B_Cell_Receptor_(BCR)	0	0	0	0	0
GABA_A_receptor_activation	0	0	0	1	1
Physiological_factors	0	0	0	4	4
Glucuronidation	0	0	0	3	3
RUNX1_regulates_estrogen_receptor_mediated_transcription	0	4	0	5	9
NCAM_signaling_for_neurite_out-growth	0	0	0	12	12
Localization_of_the_PINCH-ILK-PARVIN_complex_to_focal_adhesions	0	0	0	2	2
Degradation_of_DVL	0	0	0	9	9
Cell-extracellular_matrix_interactions	0	0	0	7	7
IGF1R_signaling_cascade	0	0	0	0	0
Transport_of_inorganic_cations-anions_and_amino_acids-oligopeptides	0	0	0	3	3
RNA_Polymerase_III_Transcription_Initiation_From_Type_1_Promoter	0	0	0	7	7
