PWY3O-246	GO:0034078
PWY-5760-1	GO:0019483
PWY-2301	GO:0006021
PWY-5041	GO:0033353
PWY-5123	GO:0045337
PWY-5084	GO:0045333
PWY-6543	GO:0046656
YEAST-4AMINOBUTMETAB-PWY	GO:0009450
PWY-6122-1	GO:0009260
PWY-6147	GO:0046656
ACETATEUTIL2-PWY	GO:0019427
PWY3O-335	GO:0045151
PWY-7220-1	GO:0046085
PWY-7219	GO:0046086
PWY3O-188	GO:0019646
PWY-5694	GO:0000256
PWY-5697	GO:0009442
ARGDEG-YEAST-PWY	GO:0006527
ASPARAGINE-DEG2-PWY	GO:0006530
ASPBIO-PWY	GO:0006532
SO4ASSIM-PWY	GO:0019379
BIOTIN-SYNTHESIS-PWY	GO:0009102
PWY3O-661	GO:0034079
PWY3O-4	GO:0006853
PWY3O-103	GO:0016024
PWY3O-15	GO:0006031
PWY3O-70	GO:0000271
ARO-PWY-1	GO:0009423
CITRUL-BIO2-PWY	GO:0019240
CYSTEINE-SYN2-PWY	GO:0019344
DENOVOPURINE3-PWY	GO:0006164
YEAST-DE-NOVO-PYRMID-DNT	GO:0006207
PYRIMID-RNTSYN-PWY	GO:0006207
PWY3O-6-1	GO:0070485
TRIGLSYN-PWY	GO:0019432
PWY-6482-1	GO:0017183
PWY3O-1565	GO:0034637
PWY3O-123	GO:0006013
PWY-5670-1	GO:0016104
PWY3O-31704	GO:0006696
PWY-6075-1	GO:0006696
PWY3O-4300	GO:0006068
PWY3O-10	GO:0006633
FASYN-ELONG2-PWY	GO:0030497
YEAST-FAO-PWY	GO:0019395
PWY3O-31723	GO:0006633
PWY3O-45	GO:0046656
PWY3O-697	GO:0046655
PWY3O-20	GO:0046655
PWY-2201	GO:0035999
PWY-1801-1	GO:0046294
PWY3O-0	GO:0006001
YEAST-GALACT-METAB-PWY	GO:0019388
GLUCONEO-PWY-1	GO:0006094
PWY3O-3827	GO:0051156
GLUNH3-PWY	GO:0097054
GLUDEG-I-PWY-1	GO:0036242
PWY-3322	GO:0006538
PWY-5177	GO:0046395
GLUTATHIONESYN-PWY	GO:0006750
PWYQT-4432	GO:0006751
GLUT-REDOX2-PWY	GO:0006749
PWY3O-592	GO:0006749
PWY3O-48	GO:0006114
AERO-GLYCEROL-CAT-PWY	GO:0019563
GLYSYN-PWY	GO:0019264
GLYSYN-ALA-PWY	GO:0019265
GLYSYN-THR-PWY	GO:0006545
GLYCLEAV-PWY	GO:0019464
PWY3O-4031	GO:0005978
GLYCOCAT-YEAST-PWY	GO:0005980
GLYCOLYSIS	GO:0061620
GLYOXYLATE-BYPASS	GO:0006097
PWY-7222-1	GO:0106387
PWY-7221	GO:0106387
HEME-BIOSYNTHESIS-II	GO:0006783
HEXPPSYN-PWY-2	GO:0006744
HOMOCYS-CYS-CONVERT	GO:0050667
PWY-6123-1	GO:0009152
PWY3O-402	GO:0032958
PWY3O-4109	GO:0006550
ALANINE-SYN2-PWY	GO:0019272
ALANINE-DEG3-PWY	GO:0019481
ARGSYNBSUB-PWY	GO:0006526
ARG-PRO-PWY	GO:0019493
ASPARAGINE-BIOSYNTHESIS-1	GO:0070981
ASPARTATESYN-PWY	GO:0019465
HOMOCYSDEGR-PWY-1	GO:0019344
GLUGLNSYN-PWY	GO:0004355
GLNSYN-PWY	GO:0006542
HISTSYN-PWY	GO:0000105
PWY-5344	GO:0071269
HOMOSERSYN-PWY	GO:0009090
ILEUSYN-PWY-1	GO:1901705
LEUSYN-PWY-1	GO:0009098
LYSINE-AMINOAD-PWY-2	GO:0051975
LYSDEGII-PWY	GO:0019473
PROSYN-PWY	GO:0006561
PROUT-PWY	GO:0010133
SERSYN-PWY	GO:0006564
SERDEG-PWY	GO:0006565
HOMOSER-THRESYN-PWY	GO:0009088
TRPSYN-PWY-1	GO:0000162
TRYPTOPHAN-DEGRADATION-1	GO:0019442
PWY-5651	GO:0006569
PWY3O-4108	GO:0006572
VALSYN-PWY	GO:0009099
PWY-6132	GO:0016126
PWY3O-4112	GO:0006552
GLUCOSE-MANNOSYL-CHITO-DOLICHOL	GO:0006488
PWY3O-1743	GO:0019309
PWY3O-238	GO:0009086
PWY3O-64	GO:0071267
PWY-901	GO:0051596
IPPSYN-PWY	GO:0008299
PWY-922	GO:0010142
PWY-5971-1	GO:0006633
NADSYN-PWY	GO:0009435
PWY-5653	GO:0009435
PWY3O-4106	GO:0034355
PWY3O-4107	GO:0034355
PWY3O-96	GO:0034356
PWY3O-224	GO:0034355
PWY3O-236	GO:0034355
PWY3O-5268	GO:0006636
PWY3O-1874	GO:0019438
PWY3O-1109	GO:0019438
PWY3O-8514	GO:0006633
