reaction.stId,control_event.dbId,active_unit.stId
R-HSA-5693551,5683607,R-HSA-5693527
R-HSA-5683425,5683393,R-HSA-5693527
R-HSA-5683077,5683076,R-HSA-5682540
R-HSA-5683077,5683076,R-HSA-4551605
R-HSA-5682858,5682864,R-HSA-5682540
R-HSA-5682858,5682864,R-HSA-4551605
R-HSA-5682607,5682610,R-HSA-2993789
R-HSA-5682598,5682602,R-HSA-5693527
R-HSA-5682965,5682981,R-HSA-1183215
R-HSA-5682983,5682970,R-HSA-5693527
R-HSA-5693536,5682529,R-HSA-5693527
R-HSA-5683964,5683971,R-HSA-5693527
R-HSA-5693549,5682178,R-HSA-5693527
R-HSA-5693598,5682167,R-HSA-5693527
R-HSA-5693540,5694649,R-HSA-5682046
R-HSA-5682044,5682030,R-HSA-3321979
R-HSA-2993781,2993766,R-HSA-947696
R-HSA-2993784,2993766,R-HSA-947696
R-HSA-2990833,2993766,R-HSA-947696
R-HSA-69891,5683600,R-HSA-5693527
R-HSA-5685156,5685163,R-HSA-176269
R-HSA-6799332,5685163,R-HSA-176269
R-HSA-5682026,5682028,R-HSA-5682046
R-HSA-6792712,6792704,R-HSA-3321979
R-HSA-174425,8964437,R-HSA-68507
R-HSA-5685994,5685992,R-HSA-5357514
R-HSA-5685994,5685992,R-HSA-68465
R-HSA-5693608,5684133,R-HSA-59544
R-HSA-5684140,5684141,R-HSA-5693527
R-HSA-5684096,5684098,R-HSA-187952
R-HSA-5684052,5684057,R-HSA-2993789
R-HSA-5684887,5684888,R-HSA-176269
R-HSA-176298,176203,R-HSA-912443
R-HSA-176116,176203,R-HSA-912443
R-HSA-5671749,5671754,R-HSA-5623651
R-HSA-5623667,5623661,R-HSA-377179
R-HSA-8848606,8848605,R-HSA-8848007
R-HSA-8848005,8848006,R-HSA-8848000
R-HSA-1963586,1810443,R-HSA-1810408
R-HSA-1963586,1810443,R-HSA-1810410
R-HSA-1963586,1810443,R-HSA-1810411
R-HSA-8852317,8852314,R-HSA-3000318
R-HSA-8933446,198368,R-HSA-202074
R-HSA-389756,198368,R-HSA-202074
R-HSA-1358791,198368,R-HSA-202074
R-HSA-198621,198368,R-HSA-202074
R-HSA-200143,198368,R-HSA-202074
R-HSA-198609,198368,R-HSA-202074
R-HSA-198611,198368,R-HSA-202074
R-HSA-198371,198368,R-HSA-202074
R-HSA-8948757,198368,R-HSA-202074
R-NUL-3139045,198368,R-HSA-202074
R-HSA-198347,198368,R-HSA-202074
R-HSA-198613,198368,R-HSA-202074
R-HSA-198599,198368,R-HSA-202074
R-HSA-198270,198343,R-HSA-61459
R-HSA-198266,198361,R-HSA-74693
R-HSA-198295,198300,R-RNO-181841
R-HSA-1676109,1806197,R-HSA-1806181
